NodeID 人物编号,Focused_or_Related 核心人物/相关人物,Chinese_Name 汉字人物姓名
722,Related,颜长贵
723,Related,黄典娴
724,Related,黄思
725,Related,叶世眉
726,Related,曾莲英
727,Related,宋庆龄
728,Related,宋美龄
729,Related,孙士鼎
730,Related,梅春辅
731,Related,余刚
732,Related,杜惹舌
733,Related,马丁•戴斯
734,Related,普特法肯•莱茵纳
735,Related,曾如玉
736,Related,刘传乐
737,Related,章招莲
738,Related,章壬全
739,Related,钟志海
740,Related,章芳源
741,Related,章壬宪
742,Related,章绸梅
743,Related,张世笈
744,Related,黄小品
745,Related,陈育民
746,Related,吴岳朋
747,Related,邓文光
748,Related,彭亨
749,Related,李略俊
750,Related,张峇丹
751,Related,陈宝娘
752,Related,张志贤
753,Related,何思观
754,Related,梁允祺
755,Related,雷亮荣
756,Related,庄才勋
757,Related,邱宗成
758,Related,杨福和
759,Related,陈允吉
760,Related,林明伦
761,Related,永清
762,Related,曾纪泽
763,Related,薛福成
764,Related,刘清玉
765,Related,刘清坤
766,Related,何衍茂
767,Related,余坤火
768,Related,吴庆腾
769,Related,刘荣丰
770,Related,王柘榴
771,Related,陈亚两
772,Related,陈若愚
773,Related,周润享
774,Related,甘清泗
775,Related,黄志信
776,Related,林坤扬
777,Related,余玉英
778,Related,陈国朝
779,Related,丁宏海
780,Related,王水斗
781,Related,陈芳岁
782,Related,梅端成
783,Related,黄良檀
